,Total,201434,201435,201436,201437,201438,201439,201440,201441,201442,201443,201444,201445,201446,201447,201448,201449,201450,201451,201452,201453,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201513,201514,201515,201516,201517,201518,201519,201520,201521,201522,201523,201524,201525,201526,201527,201528,201529,201530,201531,201532,201533,201534,201535,201536,201537,201538,201539,201540,201541,201542,201543,201544,201545,201546,201547,201548,201549,201550,201551,201552,201553,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201613
Country,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions
Malaysia,288,0,0,0,1,0,4,12,2,1,1,1,2,1,1,1,5,0,2,1,0,1,6,10,0,4,1,2,2,2,5,4,3,3,4,2,3,3,3,1,1,4,5,7,3,2,12,2,3,0,2,2,1,3,4,0,3,3,4,1,7,5,9,2,4,3,1,7,3,5,4,1,1,2,1,9,8,7,6,12,1,1,6,11,5,7,4
Netherlands,277,4,1,1,2,1,4,0,0,3,2,0,2,0,0,0,1,1,0,0,0,1,2,0,0,2,0,2,1,1,0,0,1,2,3,0,1,3,3,1,1,5,1,1,2,1,4,2,0,2,3,3,1,3,4,5,8,8,9,8,8,3,4,9,4,6,9,2,7,4,6,4,2,2,4,7,5,9,7,12,8,11,7,1,7,7,6
Egypt,246,0,0,0,0,1,7,1,0,0,0,3,1,2,0,0,0,0,3,1,1,0,1,0,2,1,1,3,5,4,2,1,3,0,1,1,2,0,13,4,1,2,3,1,2,0,2,0,2,0,3,3,2,3,1,2,5,5,2,3,0,4,6,7,4,6,4,3,3,4,7,6,3,2,1,10,3,5,4,6,7,4,3,3,12,10,13
South Africa,238,1,5,0,1,0,2,2,0,0,2,0,0,1,1,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,5,2,4,0,0,2,0,0,0,1,4,5,0,2,0,3,1,0,1,8,3,2,4,17,19,10,10,9,7,9,0,1,3,4,2,3,3,1,5,3,1,3,0,0,4,4,4,6,5,7,4,7,5,4,6,4
Poland,224,0,0,0,1,0,2,6,2,0,1,0,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4,1,0,1,0,1,1,1,3,0,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,2,1,1,1,1,3,2,2,2,2,17,14,9,5,6,2,0,10,27,17,3,12,12,8,8,3,5,4,5
Switzerland,217,0,0,0,1,0,6,0,1,0,1,1,0,1,4,1,2,0,1,1,0,1,0,0,0,2,3,2,0,1,0,2,1,1,2,0,1,2,3,2,1,5,4,2,4,1,4,6,2,4,1,0,2,0,3,2,2,3,1,3,3,5,0,2,6,6,5,5,5,7,2,4,1,0,0,12,10,8,5,8,2,11,4,3,4,3,3
Saudi Arabia,210,0,0,0,1,0,0,0,0,2,1,0,2,0,6,2,2,2,3,0,1,0,0,4,4,2,4,1,1,2,1,1,1,1,2,1,0,2,2,2,0,2,1,0,2,3,4,2,0,1,2,1,2,1,3,6,4,2,3,2,3,2,3,4,3,8,2,5,3,4,2,3,7,5,1,3,4,4,4,7,1,4,5,7,9,7,6
Indonesia,208,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,18,4,1,1,0,0,0,0,1,1,2,1,5,6,0,2,3,0,1,0,0,3,1,1,4,2,0,4,1,1,0,1,0,1,1,0,1,3,0,3,2,1,5,3,1,2,2,5,4,6,2,4,3,1,5,6,4,3,0,7,4,3,5,5,8,6,11,7,4,5,5
Thailand,202,0,1,1,0,1,1,0,1,2,1,13,1,0,0,1,0,2,0,0,1,0,0,0,0,3,2,2,0,2,1,1,0,3,0,0,1,0,1,0,1,2,2,4,3,0,1,5,3,6,1,3,0,5,4,4,5,2,6,1,3,3,5,2,3,4,4,6,3,1,1,2,7,4,0,4,4,9,3,2,6,5,5,7,0,7,2
Israel,201,0,0,1,0,1,3,1,0,0,1,1,1,1,1,0,0,0,2,0,0,0,1,0,1,1,0,3,0,0,1,0,2,0,0,0,4,0,2,0,2,3,5,1,0,5,0,3,0,3,1,1,0,0,0,0,3,4,3,1,0,3,2,23,10,7,6,0,4,2,4,3,5,2,0,5,12,3,7,3,8,8,5,4,8,2,2
Tunisia,198,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,2,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,3,0,1,0,35,0,2,0,3,4,2,1,0,0,1,2,2,2,1,3,2,0,1,2,1,2,1,1,2,5,5,1,2,3,6,5,5,3,3,1,0,3,7,5,6,9,3,9,1,4,9,5,5
Sweden,186,0,0,0,0,1,5,0,1,1,1,0,1,0,0,1,0,0,3,0,0,0,2,0,1,3,2,2,1,1,0,0,1,1,0,1,2,0,2,1,0,2,0,3,3,3,3,2,0,2,0,0,1,3,2,1,1,9,1,4,0,3,7,3,2,6,1,8,3,2,6,0,1,1,0,2,6,6,8,11,5,7,7,3,6,5,3
Morocco,177,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,1,1,0,0,3,1,0,0,0,2,0,2,1,0,1,0,0,0,0,0,5,4,2,1,0,0,1,0,0,1,0,0,2,1,0,1,1,5,1,1,4,2,1,1,4,4,6,13,3,7,2,2,1,10,3,9,8,9,5,9,6,9,5,9
Ireland,174,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,5,0,6,0,1,3,0,0,0,0,0,0,1,0,0,2,2,3,1,2,3,1,1,3,0,4,3,2,2,1,1,1,3,4,2,2,1,1,5,9,4,4,10,8,4,2,4,7,11,1,0,1,4,0,4,3,2,2,3,1,4,6,3,1
United Arab Emirates,165,0,0,1,0,0,0,0,1,0,2,2,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,1,1,2,1,0,0,2,2,3,7,0,2,2,2,1,2,0,2,0,1,0,0,0,3,5,2,1,1,4,5,4,2,2,4,3,0,0,0,5,4,1,3,1,4,7,9,3,7,9,9,1,3,4,12,1
Belgium,163,0,0,0,1,1,3,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,3,0,0,3,1,1,0,1,2,1,0,1,3,2,4,0,4,1,2,2,2,1,2,0,3,1,2,9,5,1,4,5,4,1,4,1,3,5,2,1,1,5,3,3,1,0,4,4,1,6,3,6,3,4,3,5,8,1
Mexico,160,0,0,0,0,0,6,1,0,0,0,1,1,2,1,3,0,0,0,1,0,0,2,2,1,0,2,1,2,1,4,1,0,0,0,2,1,1,1,2,0,2,3,6,1,0,1,1,1,0,1,0,1,1,1,0,4,3,2,2,2,3,1,2,1,14,2,1,4,1,5,2,1,2,1,4,2,4,3,8,11,4,2,3,3,5,0
Finland,154,0,0,0,1,0,4,1,0,0,1,0,2,0,1,2,0,0,2,0,0,0,0,1,3,3,0,2,1,0,1,2,0,0,3,1,0,0,0,2,2,2,2,1,3,0,2,1,2,1,2,1,2,6,3,2,3,4,3,2,3,1,1,4,1,4,2,4,0,1,4,2,3,1,0,5,4,6,3,5,4,4,4,8,2,1,0
Portugal,146,0,0,0,0,1,6,0,1,1,5,0,3,0,2,1,1,0,0,0,0,0,1,0,0,0,3,1,2,0,4,0,2,2,2,2,1,1,0,2,1,1,1,1,1,1,4,1,2,0,2,1,1,1,1,1,5,1,0,3,1,2,2,1,2,6,3,0,4,1,4,4,1,1,1,3,4,2,3,2,2,2,8,8,2,1,3
Serbia,143,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,6,8,11,9,7,4,11,4,0,4,13,8,5,9,12,4,0,3,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,2,0,0,2,2,0,0,0,0,0,1,1
Chile,119,0,0,0,0,0,1,0,7,5,10,7,4,2,2,0,2,1,3,3,1,0,1,2,2,0,2,1,0,8,1,3,3,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,2,0,1,3,1,2,0,1,1,1,1,0,2,2,4,0,1,2,6,0,0,0,2,1,0,1,2,1,0,0,0,3,0,0
Colombia,118,0,0,0,0,0,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1,5,0,0,0,0,2,1,1,1,1,0,4,0,1,0,0,1,1,6,1,0,4,4,2,0,1,0,3,3,0,6,0,3,2,5,1,4,5,2,2,0,1,1,4,3,0,0,1,4,0,4,5,3,3
Denmark,114,0,0,0,5,3,5,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,4,0,0,0,3,0,0,0,0,1,2,4,0,0,0,2,2,0,5,1,2,2,0,1,0,0,2,1,1,0,2,0,1,0,2,2,4,2,4,1,0,3,0,1,1,0,0,1,0,3,4,4,3,4,1,2,4,3,4,3,1
Austria,113,0,0,0,1,2,3,2,1,0,0,0,1,2,0,2,1,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,2,3,1,3,1,0,1,0,1,0,1,0,1,0,4,1,2,1,0,0,0,3,2,2,3,0,1,3,1,0,1,4,2,0,2,3,2,1,7,0,0,0,1,1,4,3,2,4,2,2,4,4,0,3,3
Norway,113,0,0,0,3,4,8,4,3,8,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,2,0,0,0,0,1,2,1,2,0,0,1,0,1,4,1,1,1,2,0,1,1,0,1,1,2,2,3,1,1,1,1,0,0,0,3,2,2,2,0,0,0,3,1,4,1,6,1,5,0,3,4,3,0
Bangladesh,110,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,1,0,2,1,0,0,0,0,0,2,1,0,0,0,5,1,0,0,0,1,0,1,4,0,4,2,1,3,2,1,3,1,7,5,3,2,0,1,3,6,8,3,2,2,3,2,3,6,3
